"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:35:18:394","161561806810553","   0.103","   9.499"," 1486","  700"," 2700"," 1553","   4.662","   0.479","   0.133","   1.863","   0.192","   0.053"," 73","0"," 70"," 78","  73.701","  70.000","  19.444","  28.000","    0","    0"
"11:35:18:510","161562038379735","   0.219","   0.000","  800","  800","  800","  800","   5.645","   1.134","   0.315","   2.427","   0.473","   0.131"," 74","0"," 26"," 29","  27.500","  96.000","  26.667","  28.000","    0","    0"
"11:35:18:612","161562241081407","   0.320","   0.033","  798","  700","  800","  800","   5.235","   1.665","   0.463","   1.791","   0.655","   0.182"," 74","0"," 71"," 71","  71.000"," 167.000","  46.389","  28.000","    0","    0"
"11:35:18:718","161562453004993","   0.426","   0.063","  798","  700","  800","  800","   4.939","   2.189","   0.608","   1.813","   0.847","   0.235"," 73","0"," 72"," 73","  72.500"," 239.000","  66.389","  28.000","    0","    0"
"11:35:18:823","161562662526237","   0.531","   0.367","  798","  700","  800","  800","   5.123","   2.727","   0.757","   1.817","   1.038","   0.288"," 73","0"," 72"," 73","  72.583"," 311.000","  86.389","  28.000","    0","    0"
"11:35:18:926","161562868282279","   0.634","   0.281","  798","  700","  800","  800","   4.751","   3.216","   0.893","   1.750","   1.218","   0.338"," 73","0"," 71"," 73","  71.889"," 382.000"," 106.111","  28.000","    0","    0"
"11:35:19:027","161563071425671","   0.736","   2.869"," 3175"," 2500"," 3300"," 3443","   8.328","   4.064","   1.129","   4.629","   1.689","   0.469"," 79","0"," 72"," 82","  76.380"," 454.000"," 126.111","  28.000","    0","    0"
"11:35:19:132","161563280136247","   0.841","   2.437","  977","  700"," 1900","  976","  18.374","   5.984","   1.662","  13.896","   3.141","   0.873"," 76","0"," 72"," 77","  74.912"," 526.000"," 146.111","  28.000","    0","    0"
"11:35:19:238","161563490926927","   0.946","   0.791","  802","  700","  900","  800","   5.030","   6.515","   1.810","   1.826","   3.334","   0.926"," 73","0"," 70"," 74","  72.962"," 596.000"," 165.556","  28.000","    0","    0"
"11:35:19:342","161563699067421","   1.050","   4.579","  986","  700"," 1300","  989","   5.562","   7.095","   1.971","   2.122","   3.555","   0.988"," 74","0"," 70"," 75","  72.453"," 666.000"," 185.000","  28.000","  500","  500"
"11:35:19:445","161563905968257","   1.154","   1.763","  806","  700"," 1100","  800","   5.271","   7.641","   2.123","   1.975","   3.760","   1.044"," 73","0"," 70"," 73","  72.158"," 736.000"," 204.444","  28.000","    0","    0"
"11:35:19:550","161564115419665","   1.259","   5.193"," 1614","  700"," 2100"," 1616","   5.750","   8.244","   2.290","   2.318","   4.003","   1.112"," 73","0"," 71"," 76","  73.564"," 807.000"," 224.167","  28.000","    0","    0"

"Total Elapsed Time (sec) = 1.258924"
"Measured RDTSC Frequency (GHz) = 1.997"

"Cumulative Package Energy_0 (Joules) = 8.244324"
"Cumulative Package Energy_0 (mWh) = 2.290090"
"Average Package Power_0 (Watt) = 6.548704"

"Cumulative IA Energy_0 (Joules) = 4.003235"
"Cumulative IA Energy_0 (mWh) = 1.112010"
"Average Package IA_0 (Watt) = 3.179885"

"Cumulative DRAM Energy_0 (Joules) = 807.000000"
"Cumulative DRAM Energy_0 (mWh) = 224.166667"
"Average Package DRAM_0 (Watt) = 641.023358"
